"","X","VCODE","HH","Pop","Intensity"
"1","Chitapol",260006,1274,5619,"6"
"2","Dadhikot",260007,2688,11629,"6"
"3","Gundu",260009,1257,5689,"6"
"4","Nankhel",260014,1225,5509,"6"
"5","Sipadol",260015,2278,9876,"6"
"6","Tathali",260018,1264,5698,"6"
"7","Bageswori",260001,1137,5385,"7"
"8","Balkot",260002,3999,15881,"7"
"9","Bhaktapur Municipality",260003,17639,81748,"7"
"10","Chhaling",260005,1817,8129,"7"
"11","Duwakot",260008,2412,10461,"7"
"12","Jhaukhel",260010,1631,7721,"7"
"13","Kautunje",260011,4692,19497,"7"
"14","Madhyapur Thimi Municipality",260012,20302,83036,"7"
"15","Nagarkot",260013,973,4571,"7"
"16","Sirutar",260016,1033,4790,"7"
"17","Sudal",260017,1562,7254,"7"
"18","Changunarayan",260004,1374,6211,"8"
"19","Baireni",300002,2795,13369,"5"
"20","Bhumesthan",300005,2145,10786,"5"
"21","Gajuri",300013,2223,10035,"5"
"22","Kewalpur",300022,1104,5010,"5"
"23","Kiranchok",300025,1163,6006,"5"
"24","Naubise",300034,3184,14553,"5"
"25","Tasarpu",300047,1098,5151,"5"
"26","Thakre",300048,2141,9838,"5"
"27","Benighat",300004,2123,9717,"6"
"28","Chhatredeurali",300008,1655,7687,"6"
"29","Dhola",300010,998,4033,"6"
"30","Dhussa",300011,1361,7190,"6"
"31","Dhuwakot",300012,1063,4762,"6"
"32","Gumdi",300015,1109,4833,"6"
"33","Jharlang",300017,770,4158,"6"
"34","Jyamrung",300019,3306,13996,"6"
"35","Khari",300024,1051,4381,"6"
"36","Kumpur",300026,2122,10012,"6"
"37","Mahadevsthan",300028,1243,6824,"6"
"38","Maidi",300029,2167,9203,"6"
"39","Nalang",300033,1876,8067,"6"
"40","Pida",300037,2214,11043,"6"
"41","Salang",300039,1140,5650,"6"
"42","Sunaula Bazar",300046,1530,6622,"6"
"43","Aginchok",300001,873,3580,"7"
"44","Baseri",300003,859,3660,"7"
"45","Budhathum",300006,866,3732,"7"
"46","Chainpur",300007,1514,6349,"7"
"47","Darkha",300009,1121,5269,"7"
"48","Goganpani",300014,1133,5563,"7"
"49","Jeewanpur",300016,1920,8789,"7"
"50","Jogimara",300018,1442,7744,"7"
"51","Jyamrung",300019,3306,13996,"7"
"52","Katunje",300021,1425,5906,"7"
"53","Khalte",300023,1566,7177,"7"
"54","Lapa",300027,853,3893,"7"
"55","Marpak",300030,849,3658,"7"
"56","Mulpani",300031,749,3175,"7"
"57","Murali Bhanjyang",300032,1673,7253,"7"
"58","Nilkantha",300035,5255,20182,"7"
"59","Phulkharka",300036,920,4125,"7"
"60","Ree Gaun",300038,1110,5434,"7"
"61","Salyankot",300040,1123,4920,"7"
"62","Salyantar",300041,1791,7892,"7"
"63","Sangkosh",300042,1244,5521,"7"
"64","Satyadevi",300043,760,3322,"7"
"65","Semjong",300044,847,3306,"7"
"66","Sertung",300045,817,3597,"7"
"67","Tipling",300049,464,2072,"7"
"68","Tripureswor",300050,819,3393,"7"
"69","Gauri Sankar",220018,287,975,"5"
"70","Alampu",220001,413,1803,"6"
"71","Babare",220002,794,3533,"6"
"72","Bhedapu",220003,918,3705,"6"
"73","Bhimeshwor Municipality",220004,6076,22537,"6"
"74","Bhirkot",220005,602,2562,"6"
"75","Bhusafeda",220006,519,2091,"6"
"76","Bocha",220008,775,2799,"6"
"77","Bulung",220009,510,2043,"6"
"78","Chankhu",220010,347,1272,"6"
"79","Chhetrapa",220011,580,2447,"6"
"80","Chilankha",220012,661,2875,"6"
"81","Chyama",220013,607,2733,"6"
"82","Dandakharka",220014,946,4136,"6"
"83","Fasku",220016,1117,4338,"6"
"84","Gairimudi",220017,1129,4278,"6"
"85","Ghyang Sukathokar",220019,1032,4230,"6"
"86","Hawa",220020,381,1721,"6"
"87","Japhe",220021,824,3784,"6"
"88","Jhule",220022,547,2241,"6"
"89","Jhyaku",220023,998,4637,"6"
"90","Jiri",220024,1899,7373,"6"
"91","Jungu",220025,938,3882,"6"
"92","Kabhre",220026,1191,4723,"6"
"93","Kalinchowk",220027,541,2806,"6"
"94","Katakuti",220028,955,3738,"6"
"95","Khare",220029,432,1833,"6"
"96","Laduk",220031,928,3663,"6"
"97","Lakuridanda",220032,924,3713,"6"
"98","Lamabagar",220033,536,2098,"6"
"99","Lamidanda",220034,1045,4232,"6"
"100","Lapilang",220035,1206,4942,"6"
"101","Magapauwa",220036,780,2950,"6"
"102","Mali",220037,693,2749,"6"
"103","Malu",220038,584,2482,"6"
"104","Marbu",220039,331,1409,"6"
"105","Melung",220040,836,3566,"6"
"106","Mirge",220041,879,3482,"6"
"107","Namdu",220042,1300,4946,"6"
"108","Orang",220043,488,2157,"6"
"109","Pawati",220044,1109,4573,"6"
"110","Sahare",220045,800,3326,"6"
"111","Sailungeswor",220046,991,4131,"6"
"112","Sundrawati",220047,677,2766,"6"
"113","Sunkhani",220048,1194,4675,"6"
"114","Suri",220049,734,3054,"6"
"115","Suspa Kshyamawati",220050,864,3437,"6"
"116","Syama",220051,440,1867,"6"
"117","Thulopatal",220052,822,3526,"6"
"118","Bigu",220007,406,1612,"7"
"119","Khopachagu",220030,476,2198,"7"
"120","Bakrang",360007,793,3019,"6"
"121","Bhumlichok",360009,685,3545,"6"
"122","Bihi",360010,208,612,"6"
"123","Chhekampar",360013,263,983,"6"
"124","Chumchet",360015,266,928,"6"
"125","Darbung",360017,763,3386,"6"
"126","Fujel",360022,1153,4694,"6"
"127","Ghairung",360025,966,3990,"6"
"128","Ghyalchok",360027,1298,5952,"6"
"129","Kerauja",360034,773,3248,"6"
"130","Lho",360039,256,711,"6"
"131","Makaising",360040,552,2307,"6"
"132","Manakamana",360041,1392,6203,"6"
"133","Namjung",360045,809,3055,"6"
"134","Prok",360051,187,575,"6"
"135","Samagaun",360052,197,604,"6"
"136","Taklung",360058,1121,5028,"6"
"137","Tanglichok",360062,802,3369,"6"
"138","Aanppipal",360001,1123,4029,"7"
"139","Aaru Arbang",360002,998,4496,"7"
"140","Aaru Chanaute",360003,1069,4327,"7"
"141","Aarupokhari",360004,1079,4564,"7"
"142","Asrang",360005,831,3406,"7"
"143","Baguwa",360006,494,1965,"7"
"144","Borlang",360011,1179,5044,"7"
"145","Bungkot",360012,1601,6260,"7"
"146","Chhoprak",360014,1531,5893,"7"
"147","Chyangli",360016,1532,6286,"7"
"148","Deurali",360018,1422,5514,"7"
"149","Dhawa",360019,881,3570,"7"
"150","Dhunwakot",360020,1110,4259,"7"
