,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Bhaktapur,,,6,11,1,,18,68557,298704
Bageswori,260001,,,1,,,1,1137,5385
Balkot,260002,,,1,,,1,3999,15881
Bhaktapur Municipality,260003,,,1,,,1,17639,81748
Changunarayan,260004,,,,1,,1,1374,6211
Chhaling,260005,,,1,,,1,1817,8129
Chitapol,260006,,1,,,,1,1274,5619
Dadhikot,260007,,1,,,,1,2688,11629
Duwakot,260008,,,1,,,1,2412,10461
Gundu,260009,,1,,,,1,1257,5689
Jhaukhel,260010,,,1,,,1,1631,7721
Kautunje,260011,,,1,,,1,4692,19497
Madhyapur Thimi Municipality,260012,,,1,,,1,20302,83036
Nagarkot,260013,,,1,,,1,973,4571
Nankhel,260014,,1,,,,1,1225,5509
Sipadol,260015,,1,,,,1,2278,9876
Sirutar,260016,,,1,,,1,1033,4790
Sudal,260017,,,1,,,1,1562,7254
Tathali,260018,,1,,,,1,1264,5698
,,,,,,,,,
