,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Dhading,,8,16,26,,,50,73574,332438
Aginchok,300001,,,1,,,1,873,3580
Baireni,300002,1,,,,,1,2795,13369
Baseri,300003,,,1,,,1,859,3660
Benighat,300004,,1,,,,1,2123,9717
Bhumesthan,300005,1,,,,,1,2145,10786
Budhathum,300006,,,1,,,1,866,3732
Chainpur,300007,,,1,,,1,1514,6349
Chhatredeurali,300008,,1,,,,1,1655,7687
Darkha,300009,,,1,,,1,1121,5269
Dhola,300010,,1,,,,1,998,4033
Dhussa,300011,,1,,,,1,1361,7190
Dhuwakot,300012,,1,,,,1,1063,4762
Gajuri,300013,1,,,,,1,2223,10035
Goganpani,300014,,,1,,,1,1133,5563
Gumdi,300015,,1,,,,1,1109,4833
Jeewanpur,300016,,,1,,,1,1920,8789
Jharlang,300017,,1,,,,1,770,4158
Jogimara,300018,,,1,,,1,1442,7744
Jyamrung,300019,,1,1,,,2,3306,13996
Kalleri,300020,,,,,,,,
Katunje,300021,,,1,,,1,1425,5906
Kewalpur,300022,1,,,,,1,1104,5010
Khalte,300023,,,1,,,1,1566,7177
Khari,300024,,1,,,,1,1051,4381
Kiranchok,300025,1,,,,,1,1163,6006
Kumpur,300026,,1,,,,1,2122,10012
Lapa,300027,,,1,,,1,853,3893
Mahadevsthan,300028,,1,,,,1,1243,6824
Maidi,300029,,1,,,,1,2167,9203
Marpak,300030,,,1,,,1,849,3658
Mulpani,300031,,,1,,,1,749,3175
Murali Bhanjyang,300032,,,1,,,1,1673,7253
Nalang,300033,,1,,,,1,1876,8067
Naubise,300034,1,,,,,1,3184,14553
Nilkantha,300035,,,1,,,1,5255,20182
Phulkharka,300036,,,1,,,1,920,4125
Pida,300037,,1,,,,1,2214,11043
Ree Gaun,300038,,,1,,,1,1110,5434
Salang,300039,,1,,,,1,1140,5650
Salyankot,300040,,,1,,,1,1123,4920
Salyantar,300041,,,1,,,1,1791,7892
Sangkosh,300042,,,1,,,1,1244,5521
Satyadevi,300043,,,1,,,1,760,3322
Semjong,300044,,,1,,,1,847,3306
Sertung,300045,,,1,,,1,817,3597
Sunaula Bazar,300046,,1,,,,1,1530,6622
Tasarpu,300047,1,,,,,1,1098,5151
Thakre,300048,1,,,,,1,2141,9838
Tipling,300049,,,1,,,1,464,2072
Tripureswor,300050,,,1,,,1,819,3393
