,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Dolakha,,1,49,2,,,52,45658,185099
Alampu,220001,,1,,,,1,413,1803
Babare,220002,,1,,,,1,794,3533
Bhedapu,220003,,1,,,,1,918,3705
Bhimeshwor Municipality,220004,,1,,,,1,6076,22537
Bhirkot,220005,,1,,,,1,602,2562
Bhusafeda,220006,,1,,,,1,519,2091
Bigu,220007,,,1,,,1,406,1612
Bocha,220008,,1,,,,1,775,2799
Bulung,220009,,1,,,,1,510,2043
Chankhu,220010,,1,,,,1,347,1272
Chhetrapa,220011,,1,,,,1,580,2447
Chilankha,220012,,1,,,,1,661,2875
Chyama,220013,,1,,,,1,607,2733
Dandakharka,220014,,1,,,,1,946,4136
Dudhpokhari,220015,,,,,,,,
Fasku,220016,,1,,,,1,1117,4338
Gairimudi,220017,,1,,,,1,1129,4278
Gauri Sankar,220018,1,,,,,1,287,975
Ghyang Sukathokar,220019,,1,,,,1,1032,4230
Hawa,220020,,1,,,,1,381,1721
Japhe,220021,,1,,,,1,824,3784
Jhule,220022,,1,,,,1,547,2241
Jhyaku,220023,,1,,,,1,998,4637
Jiri,220024,,1,,,,1,1899,7373
Jungu,220025,,1,,,,1,938,3882
Kabhre,220026,,1,,,,1,1191,4723
Kalinchowk,220027,,1,,,,1,541,2806
Katakuti,220028,,1,,,,1,955,3738
Khare,220029,,1,,,,1,432,1833
Khopachagu,220030,,,1,,,1,476,2198
Laduk,220031,,1,,,,1,928,3663
Lakuridanda,220032,,1,,,,1,924,3713
Lamabagar,220033,,1,,,,1,536,2098
Lamidanda,220034,,1,,,,1,1045,4232
Lapilang,220035,,1,,,,1,1206,4942
Magapauwa,220036,,1,,,,1,780,2950
Mali,220037,,1,,,,1,693,2749
Malu,220038,,1,,,,1,584,2482
Marbu,220039,,1,,,,1,331,1409
Melung,220040,,1,,,,1,836,3566
Mirge,220041,,1,,,,1,879,3482
Namdu,220042,,1,,,,1,1300,4946
Orang,220043,,1,,,,1,488,2157
Pawati,220044,,1,,,,1,1109,4573
Sahare,220045,,1,,,,1,800,3326
Sailungeswor,220046,,1,,,,1,991,4131
Sundrawati,220047,,1,,,,1,677,2766
Sunkhani,220048,,1,,,,1,1194,4675
Suri,220049,,1,,,,1,734,3054
Suspa Kshyamawati,220050,,1,,,,1,864,3437
Syama,220051,,1,,,,1,440,1867
Tamchet Dudhpokhari,,,1,,,,1,596,2450
Thulopatal,220052,,1,,,,1,822,3526
