,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Gorkha,,,18,49,,,67,66458,268942
Aanppipal,360001,,,1,,,1,1123,4029
Aaru Arbang,360002,,,1,,,1,998,4496
Aaru Chanaute,360003,,,1,,,1,1069,4327
Aarupokhari,360004,,,1,,,1,1079,4564
Asrang,360005,,,1,,,1,831,3406
Baguwa,360006,,,1,,,1,494,1965
Bakrang,360007,,1,,,,1,793,3019
 Bhirkot,360008,,,,,,,,
Bhumlichok,360009,,1,,,,1,685,3545
Bihi,360010,,1,,,,1,208,612
Borlang,360011,,,1,,,1,1179,5044
Bungkot,360012,,,1,,,1,1601,6260
Chhekampar,360013,,1,,,,1,263,983
Chhoprak,360014,,,1,,,1,1531,5893
Chumchet,360015,,1,,,,1,266,928
Chyangli,360016,,,1,,,1,1532,6286
Darbung,360017,,1,,,,1,763,3386
Deurali,360018,,,1,,,1,1422,5514
Dhawa,360019,,,1,,,1,881,3570
Dhunwakot,360020,,,1,,,1,1110,4259
Finam,360021,,,1,,,1,766,3097
Fujel,360022,,1,,,,1,1153,4694
Gaikhur,360023,,,1,,,1,1276,5003
Gankhu,360024,,,1,,,1,694,2986
Ghairung,360025,,1,,,,1,966,3990
Ghyachok,360026,,,1,,,1,416,1997
Ghyalchok,360027,,1,,,,1,1298,5952
Gorkha Municipality,,,,1,,,1,8793,32473
Gumda,360028,,,1,,,1,535,2303
Hansapur,360029,,,1,,,1,924,3658
Harmi,360030,,,1,,,1,907,3450
Jaubari,360031,,,1,,,1,740,2987
Kashigaun,360032,,,1,,,1,414,1837
Kerabari,360033,,,1,,,1,572,2440
Kerauja,360034,,1,,,,1,773,3248
Kharibot,360035,,,1,,,1,538,2453
Khoplang,360036,,,1,,,1,1387,5193
Laprak,360037,,,1,,,1,529,2161
Lapu,360038,,,1,,,1,450,1823
Lho,360039,,1,,,,1,256,711
Makaising,360040,,1,,,,1,552,2307
Manakamana,360041,,1,,,,1,1392,6203
Manbu,360042,,,1,,,1,1388,6016
Masel,360043,,,1,,,1,1015,3827
Mirkot,,,,1,,,1,1388,5261
Muchhok,360044,,,1,,,1,899,3779
Namjung,360045,,1,,,,1,809,3055
Nareshwor,360046,,,1,,,1,1026,3692
Palungtar,360047,,,1,,,1,2108,8143
Panchkhuwa Deurali,360048,,,1,,,1,530,2111
Pandrung,360049,,,1,,,1,664,2524
Prithbinarayan N.P,360050,,,,,,,,
Prok,360051,,1,,,,1,187,575
Samagaun,360052,,1,,,,1,197,604
Saurpani,360053,,,1,,,1,1325,5958
Shreenathkot,360054,,,1,,,1,771,3147
Simjung,360055,,,1,,,1,841,3715
Sirdibas,360056,,,1,,,1,572,2510
Swara,360057,,,1,,,1,785,3713
Taklung,360058,,1,,,,1,1121,5028
Takukot,360059,,,1,,,1,902,3869
Takumajh Lakuribot,360060,,,1,,,1,554,2229
Tandrang,360061,,,1,,,1,1038,4221
Tanglichok,360062,,1,,,,1,802,3369
Taple,360063,,,1,,,1,1120,4496
Thalajung,360064,,,1,,,1,681,2725
Thumi,360065,,,1,,,1,1080,4481
Uhiya,360066,,,1,,,1,427,1857
Warpak,360067,,,1,,,1,1069,4985
