,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Kathmandu,,1,13,19,11,15,59,435544,1699289
Aalapot,270001,,,,1,,1,671,3159
Baad Bhanjyang,270002,,1,,,,1,817,3779
Bajrayogini (Sankhu),270003,,,1,,,1,928,4333
Balambu,270004,,,1,,,1,1734,7323
Baluwa,270005,,,,1,,1,1204,5467
Bhadrabas,270006,,,,,1,1,503,2388
Bhimdhunga,270007,,1,,,,1,619,2915
Budanilkantha,270008,,,,1,,1,3725,15421
Chalnakhel,270009,,1,,,,1,1005,4365
Chapali Bhadrakali,270010,,,,1,,1,2574,10827
Chhaimale,270011,1,,,,,1,968,4216
Chunikhel,270013,,,,1,,1,859,4449
Daanchhi,270014,,,,,1,1,2593,11246
Dahachok,270012,,1,,,,1,878,4036
Daxinkali,270015,,1,,,,1,984,4755
Dhapasi,270016,,,,,1,1,8202,31406
Dharmasthali,270017,,,,,1,1,1421,6530
Futung,270018,,,,,1,1,1064,4792
Gagalphedi,270019,,,1,,,1,1166,5533
Gokarneswor,270020,,,,,1,1,1768,7508
Goldhunga,270021,,,,,1,1,3806,16174
Gonggabu,270022,,,,,1,1,14456,54410
Gothatar,270023,,,1,,,1,6749,26169
Ichang Narayan,270024,,,1,,,1,6288,24425
Indrayani,270025,,,1,,,1,717,3361
Jhor Mahankal,270026,,,,1,,1,873,4103
Jitpurphedi,270027,,,,1,,1,1103,5135
Jorpati,270028,,,,,1,1,21862,84567
Kabhresthali,270029,,,,1,,1,1007,4774
Kapan,270030,,,,,1,1,12324,48463
Kathmandu Metropolitan City,270031,,,1,,,1,254292,975453
Khadka Bhadrakali,270032,,,,,1,1,2582,10761
Kirtipur Municipality,270033,,1,,,,1,19441,65602
Lapsiphedi,270034,,,1,,,1,1209,5629
Machhegaun,270035,,1,,,,1,872,3849
Mahadevathan,270036,,1,,,,1,3731,15514
Mahankal,270037,,,,,1,1,4421,17997
Manmaiju,270038,,,,,1,1,10949,40416
Matatirtha,270039,,1,,,,1,1413,5982
Mulpani,270040,,,,,1,1,2647,11742
Naglebhare,270041,,,1,,,1,935,4520
Naikap Naya Bhanjyang,270042,,,1,,,1,1980,7944
Naikap Purano Bhanjyang,270043,,,1,,,1,1054,4546
Nayapati,270044,,,,1,,1,1725,7257
Pukhulachhi,270045,,,1,,,1,596,2676
Ramkot,270046,,,1,,,1,1937,8759
Sangla,270047,,,,1,,1,808,3622
Satungal,270049,,,1,,,1,2726,10452
Setidevi,270048,,1,,,,1,1039,4248
Seuchatar,270050,,,1,,,1,3378,13412
Sheshnarayan,270051,,1,,,,1,844,3855
Sitapaila,270052,,,1,,,1,4524,17909
Sundarijal,270053,,,1,,,1,547,2552
Suntol,270054,,,1,,,1,1021,4819
Talkududechour,270055,,1,,,,1,648,2858
Thankot,270056,,1,,,,1,2820,12047
Tinthana,270057,,,1,,,1,2507,9726
Tokha Chandeswori,270058,,,,1,,1,841,3961
Tokha Sarswoti,270059,,,,,1,1,1189,5152
