,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Kavrepalanchok,,42,32,16,,,90,81497,378463
Anekot,240001,,,1,,,1,1493,7100
Baldthali,240002,1,,,,,1,660,2695
Balting,240003,1,,,,,1,504,2590
Baluwapati Deupur,240004,,,1,,,1,1292,6023
Banakhu Chor,240005,1,,,,,1,709,4554
Banepa Municipality,240006,,1,,,,1,5540,24764
Bekhsimle Ghartigaun,240007,,1,,,,1,256,1161
Bhimkhori,240008,1,,,,,1,1066,5524
Bhumlutar,240009,,,1,,,1,529,1885
Birtadeurali,240010,,1,,,,1,530,2272
Bolde Fediche,240011,1,,,,,1,470,2041
Budhakhani,240012,1,,,,,1,662,3941
Chalal Ganeshsthan,240013,,,1,,,1,864,3973
Chandeni Mandan,240014,,1,,,,1,782,3265
Choubas,240015,1,,,,,1,487,2068
Chyamrangbesi,240016,1,,,,,1,304,1629
Chyasing Kharka,240017,1,,,,,1,611,2789
Dandagaun,240018,1,,,,,1,484,3104
Dapcha Chatrebhanjh,240019,,1,,,,1,632,2766
Daraune Pokhari,240020,,,1,,,1,645,2684
DeuvumiBaluwa,240021,,,,,,,,
Devitar,240022,1,,,,,1,572,2652
Dewabhumi Baluwa,,,1,,,,1,1578,7138
Dhulikhel Municipality,240023,,1,,,,1,3279,14283
Dhunkharka,240024,1,,1,,,2,2070,9832
DhuseniSiwalaya,240025,,,,,,,,
Dolalghat,240026,,,1,,,1,467,2126
Falate Bhumlu,240027,1,,,,,1,303,1185
Falemetar,240028,1,,,,,1,668,4234
Foksingtar,240029,,,1,,,1,376,2339
Gairi Bisouna Deupur,240030,1,,,,,1,1203,5374
Ghartichhap,240031,1,,,,,1,411,2612
Gokule,240032,,1,,,,1,752,4837
Gothpani,240033,,,1,,,1,518,2292
Hokse Bazar,240034,,,1,,,1,970,4613
Jaisithok Mandan,240035,,,1,,,1,667,2965
Jyamdi Mandan,240036,1,,,,,1,1090,4878
Kalati Bhumidanda,240037,1,,,,,1,766,3638
Kanpur Kalapani,240038,,1,,,,1,922,4376
Katike Deurali,240039,1,,,,,1,675,3061
Katunje Besi,240040,,1,,,,1,497,2399
Kavre Nitya Chandeswor,240041,1,,,,,1,1042,4927
Khahare Pangu,240042,1,,,,,1,559,2394
Khanalthok,240043,,1,,,,1,1082,4707
Kharelthok,240044,1,,,,,1,626,2389
Kharpachok,240045,,1,,,,1,335,1676
Kolati Bhumlu,240046,,1,,,,1,316,1322
Koshidekha,240047,1,,,,,1,461,1761
Kuruwas Chapakhori,240048,1,,,,,1,584,2753
Kushadevi,240049,1,,,,,1,1549,7114
Machchhegaun,240050,,1,,,,1,1263,6110
Madan Kundari,240051,,,1,,,1,478,1897
Mahadevsthan Mandan,240052,1,,,,,1,1873,8166
Mahadevtar,240053,1,,,,,1,381,2083
Mahankal Chaur,240054,,1,,,,1,787,3470
Mahendra Jyoti,240055,,1,,,,1,661,3409
Majhi Feda,240056,1,,,,,1,627,2669
Mangaltar,240057,,1,,,,1,786,3737
Mathurapati Fulbari,240058,,1,,,,1,973,4458
Methinkot,240059,1,,,,,1,1055,4721
Milche,240060,,1,,,,1,447,2693
Nagre Gagarche,240061,,1,,,,1,479,2237
Nala,240062,,,,,,,,
Nasikasthan Sanga,240063,,,1,,,1,1305,6121
Nayagaun Deupur,240064,,1,,,,1,951,4417
Panauti Municipality,240065,,1,,,,1,5943,27358
Panchkhal,240066,,1,,,,1,2766,12339
Patalekhet,240067,,1,,,,1,806,4009
Pokhari Chauri,240068,1,,,,,1,648,3176
Pokhari Narayansthan,240069,1,,,,,1,647,2945
Puranogaun Dapcha,240070,,1,,,,1,443,1988
Ravi Opi,240071,1,,,,,1,923,4315
Ryale,240072,1,,,,,1,977,4302
Saldhara,240073,,,1,,,1,461,2646
Salle Bhumlu,240074,2,,,,,2,978,3526
Salmechakala,240075,,,,,,,,
Sankhupati Chour,240076,,1,,,,1,722,3372
Sanowangthali,240077,,1,,,,1,343,1509
Saping,240078,,,1,,,1,786,3246
Sarada Batase,240079,,1,,,,1,511,2368
Saramthali,240080,1,,,,,1,239,1071
Sarasyunkhark,240081,1,,,,,1,1095,5316
Sathighar Bhagawati,240082,,,1,,,1,650,2657
Sikhar Ambote,240083,1,,,,,1,850,3711
Simalchour Syampati,240084,1,,,,,1,832,3819
Simthali,240085,,1,,,,1,350,1731
Sipali Chilaune,240086,1,,,,,1,574,2878
Sisakhani,240087,1,,,,,1,344,1754
Thulo Parsel,240088,1,,,,,1,578,2476
Tukucha Nala,240089,,1,,,,1,1029,4907
Ugrachandi Nala,,,1,,,,1,1444,7198
Ugratara Janagal,240090,,1,,,,1,1634,6953
