,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Lalitpur,,21,7,14,,,42,109505,457606
Ashrang,250001,1,,,,,1,277,1411
Badikhel,250002,,1,,,,1,791,3576
Bhardev,250003,1,,,,,1,430,2210
Bhattedanda,250004,1,,,,,1,429,2057
Bisankhunarayan,250005,,1,,,,1,1047,4484
Bukhel,250006,1,,,,,1,334,1697
Bungamati,250007,,,1,,,1,1304,5966
Chandanpur,250008,1,,,,,1,222,1071
Chapagaun,250009,,1,,,,1,3710,16420
Chhampi,250010,,1,,,,1,1071,4753
Choughare,250011,1,,,,,1,380,1884
Dalchoki,250012,1,,,,,1,269,1167
Devichour,250013,1,,,,,1,577,2883
Dhapakhel,250014,,,1,,,1,3178,12678
Dhusel,250015,1,,,,,1,308,1510
Dukuchhap,250016,,1,,,,1,555,2669
Gimdi,250017,1,,,,,1,461,2299
Godamchaur,250018,,1,,,,1,1094,4914
Godawari,250019,1,,,,,1,1825,7558
Gotikhel,250020,1,,,,,1,403,1855
Harisiddhi,250021,,,1,,,1,2737,10736
Ikudol,250022,1,,,,,1,387,1878
Imadol,250023,,,1,,,1,6898,27327
Jharuwarasi,250024,,,1,,,1,936,4286
Kaleswor,250025,1,,,,,1,296,1404
Khokana,250026,,,1,,,1,1056,4927
Lalitpur Sub-metropolitan city,250027,,,1,,,1,54581,220802
Lamatar,250028,,1,,,,1,1759,8188
Lele,250029,1,,,,,1,1822,8411
Lubhu,250030,,,1,,,1,2365,10374
Malta,250031,1,,,,,1,370,1838
Manikhel,250032,1,,,,,1,396,1947
Nallu,250033,1,,,,,1,460,2171
Pyutar,250034,1,,,,,1,382,2056
Sainbu,250035,,,1,,,1,5003,19721
Sankhu,250036,1,,,,,1,462,2277
Siddhipur,250037,,,1,,,1,1484,6147
Sunakothi,250038,,,1,,,1,2397,10092
Thaiba,250039,,,1,,,1,1982,8261
Thecho,250040,,,1,,,1,2352,10086
Thuladurlung,250041,1,,,,,1,291,1479
Tikathali,250042,,,1,,,1,2424,10136
