,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Makwanpur,,45,,,,,45,86045,415601
Parsa Wildlife Reserve,310000,,,,,,,,
Agara,310001,1,,,,,1,1572,7836
Ambhanjyang,310002,1,,,,,1,1403,6906
Bajrabarahi,310003,1,,,,,1,1630,7675
Basamadi,310004,1,,,,,1,3557,17130
Betini,310005,1,,,,,1,617,3351
Bhaise,310006,1,,,,,1,1388,6717
Bharta Pundyadevi,310007,1,,,,,1,693,4169
Bhimfedi,310008,1,,,,,1,1161,5440
Budhichaur,310009,1,,,,,1,370,2085
Chitlang,310010,1,,,,,1,1172,5029
Churiyamai,310011,1,,,,,1,2980,14274
Daman,310012,1,,,,,1,1913,8439
Dandakharka,310013,1,,,,,1,720,4021
Dhiyal/Dhimal,310014,1,,,,,1,1090,5945
Fakhel,310015,1,,,,,1,1011,4524
Faparbari,310016,1,,,,,1,3221,16776
Gogane,310017,1,,,,,1,983,5345
Handikhola,310018,1,,,,,1,3676,18415
Hatiya,310019,1,,,,,1,2751,13099
Hetauda Municipality,310020,1,,,,,1,19851,84671
Hurnamadi,310021,1,,,,,1,1524,6615
Ipa Panchakanya,310022,1,,,,,1,459,2497
Kalikatar,310023,1,,,,,1,796,4723
Kankada,310024,1,,,,,1,1304,7840
Khairang,310025,1,,,,,1,583,3389
Kogate,310026,1,,,,,1,280,1279
Kulekhani,310027,1,,,,,1,670,2969
Makwanpurgadhi,310028,1,,,,,1,2576,12806
Manahari,310029,1,,,,,1,4215,19984
Manthali,310030,1,,,,,1,509,2762
Markhu,310031,1,,,,,1,634,3071
Namtar,310032,1,,,,,1,1709,8816
Nibuwatar,310033,1,,,,,1,884,4259
Padam Pokhari,310034,1,,,,,1,3607,17086
Palung,310035,1,,,,,1,1236,5603
Raigaun,310036,1,,,,,1,1893,10368
Raksirang,310037,1,,,,,1,1152,6572
Sarikhet Palase,310038,1,,,,,1,1518,8391
Shikharpur,310039,1,,,,,1,1054,5896
Shreepur Chhatiwan,310040,1,,,,,1,4172,20747
Sisneri Mahadevsthan,310041,1,,,,,1,739,3245
Sukaura,310042,1,,,,,1,654,3525
Thingan,310043,1,,,,,1,713,4270
Tistung Deurali,310044,1,,,,,1,1405,7041
