,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Nuwakot,,2,1,59,,,62,59194,275775
Bageswori,280001,,,1,,,1,1073,4986
Balkumari,280002,,,1,,,1,496,2486
Barsunchet,280003,,,1,,,1,118,426
Belkot,280004,,,1,,,1,1549,7660
Betini,280005,,,1,,,1,873,4372
Bhadrutar,280006,,,1,,,1,705,3238
Bhalche,280007,,,1,,,1,754,3488
Bidur Municipality,280008,,,1,,,1,6270,26750
Budhasing,280009,,,1,,,1,677,2945
Bungtang,280010,,,1,,,1,599,2117
Charghare,280011,,,1,,,1,1190,5419
Chaturale,280012,,,1,,,1,708,3238
Chaughada,280013,,,1,,,1,1164,5480
Chauthe,280014,,1,,,,1,697,3535
Chhap,280015,,,1,,,1,448,2085
Dangsing,280016,,,1,,,1,625,2736
Deurali,280017,,,1,,,1,1005,3656
Duipipal,280018,1,,,,,1,1569,7790
Fikuri,280019,,,1,,,1,636,2873
Ganeshthan,280020,,,1,,,1,807,3728
Gaunkharka,280021,,,1,,,1,628,3180
Gerkhu,280022,,,1,,,1,1421,6382
Ghyangphedi,280023,,,1,,,1,604,3100
Gorsyang,280024,,,1,,,1,772,3431
Halde Kalika,,,,1,,,1,753,3606
Jiling,280025,,,1,,,1,1271,6286
Kabilas,280026,,,1,,,1,863,4063
Kakani,280027,,,1,,,1,1390,7320
Kalikahalde,280028,,,,,,,,
Kalyanpur,280029,,,1,,,1,1243,5722
Kaule,280030,,,1,,,1,739,2993
Khadag Bhanjyang,280031,,,1,,,1,1412,6166
Kharanitar,280032,,,1,,,1,1210,5330
 Khanigaun,280033,,,1,,,1,375,1609
Kimtang,280034,,,1,,,1,459,1976
Kumari,280035,1,,,,,1,1618,8672
Lachyang,280036,,,1,,,1,876,4480
Likhu,280037,,,1,,,1,557,2462
Madanpur,280038,,,1,,,1,1738,8862
Mahakali,280039,,,1,,,1,788,3524
Manakamana,280040,,,1,,,1,789,3321
Narjamandap,280041,,,1,,,1,1012,5335
Okharpauwa,280042,,,1,,,1,1510,7901
Panchakanya,280043,,,1,,,1,544,2675
Ralukadevi,280044,,,1,,,1,916,4563
Ratmate,280045,,,1,,,1,822,3793
Rautbesi,280046,,,1,,,1,654,3437
Salme,280047,,,1,,,1,422,2186
Samari,280048,,,1,,,1,1207,5304
Samundradevi,280049,,,1,,,1,700,3053
Samundratar,280050,,,1,,,1,450,1997
Shikharbesi,280051,,,1,,,1,746,3534
Sikre,280052,,,1,,,1,370,1582
Sundaradevi,280053,,,1,,,1,511,2411
Sunkhani,280054,,,1,,,1,533,2449
Suryamati,280055,,,1,,,1,692,3654
Talakhu,280056,,,1,,,1,688,2976
Taruka,280057,,,1,,,1,1127,5233
Thanapati,280058,,,1,,,1,626,2831
Thansing,280059,,,1,,,1,1388,6126
Thaprek,280060,,,1,,,1,760,3942
Tupche,280061,,,1,,,1,1279,5286
Urleni,280062,,,1,,,1,768,4014
