,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Rasuwa,,,2,16,,,18,9741,42133
Bhorle,290001,,,1,,,1,1184,5570
Bridhim,290002,,,1,,,1,161,422
Chilime,290003,,,1,,,1,340,1378
Dandagoun,290004,,,1,,,1,479,2186
Dhaibung,,,,1,,,1,1109,4928
Dhunche,290005,,,1,,,1,714,2744
Gatlang,290006,,,1,,,1,400,1805
Goljung,290007,,,1,,,1,269,972
Haku,290008,,,1,,,1,443,2169
Jibjibe,290009,,,,,,,,
Laharepouwa,290010,,,1,,,1,1053,4522
Langtang,290011,,1,,,,1,152,415
Ramche,290012,,,1,,,1,489,2268
Saramthali,290013,,,1,,,1,821,3992
Syafru,290014,,,1,,,1,621,2271
Thulogoun,290015,,,1,,,1,317,1356
Thuman,290016,,,1,,,1,239,868
Timure,290017,,1,,,,1,130,423
Yarsa,290018,,,1,,,1,820,3844
,,,,,,,,,
