,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total ,HH,Pop,Total VDC/Munci
Sindhupalchok,,,13,66,,,,66635,285770,79
Atarpur,230001,,1,,,,,464,2182,1
Badegau,230002,,,1,,,,1160,5353,1
Bansbari,230003,,,1,,,,1102,5056,1
Banskharka,230004,,,1,,,,588,2259,1
Baramchi,230005,,,1,,,,705,3248,1
Barhabise,230006,,,1,,,,1683,7117,1
Baruwa,230007,,,1,,,,487,1831,1
Batase,230008,,,1,,,,1152,4882,1
Bhimtar,230009,,,1,,,,892,4526,1
Bhotasipa,230010,,,1,,,,994,4618,1
Bhotang,,,,1,,,,624,2582,1
Bhote Namlang,230011,,,1,,,,792,3551,1
Bhotechaur,230012,,,1,,,,1074,4752,1
Chokati,230013,,1,,,,,627,2497,1
Chautara,230014,,,1,,,,1618,5952,1
Dhumthang,230015,,,1,,,,851,3780,1
Dhuskun,,,1,,,,,759,2926,1
Dubachour,230016,,,1,,,,1375,5713,1
Fatakshila,230017,,,1,,,,894,4286,1
Fulpingdanda,230018,,,1,,,,1054,4802,1
Fulpingkatti,230019,,,1,,,,783,3297,1
Fulpingkot,230020,,,1,,,,904,3815,1
Gati,230021,,,1,,,,874,4026,1
Ghorthali,230022,,,1,,,,465,1897,1
Ghusun,230023,,,,,,,,,
Gloche,230024,,1,,,,,731,3611,1
Gumba,230025,,1,,,,,674,3431,1
Gunsakot,230026,,,1,,,,449,1902,1
Hagam,230027,,,1,,,,818,3847,1
Haibung,230028,,,1,,,,576,2484,1
Helambu,230029,,,1,,,,656,2564,1
Ichok,230030,,,1,,,,1270,5387,1
Irkhu,230031,,,1,,,,751,3443,1
Jalbire,230032,,,1,,,,611,2540,1
Jethal,230033,,1,,,,,620,2553,1
Jyamire,230034,,,1,,,,1199,5553,1
Kadambas,230035,,,1,,,,834,3372,1
Kalika,230036,,,1,,,,545,2251,1
Karthali,230037,,,1,,,,836,3347,1
Kiwool,230038,,,1,,,,764,2950,1
Kubhinde,230039,,,1,,,,693,3009,1
Kunchok,230040,,,1,,,,927,3967,1
Langarche,230041,,,1,,,,592,2590,1
Lisankhu,230042,,1,,,,,938,3774,1
Listikot,230043,,,1,,,,949,3305,1
Mahankal,230044,,,1,,,,1024,4843,1
Maneswnara,230045,,,1,,,,789,3393,1
Mankha,230046,,,1,,,,1860,7752,1
Marming,230047,,,1,,,,718,3255,1
Melamchi,230048,,,1,,,,1179,5230,1
Motang,230049,,,,,,,,,
Nawalpur,230050,,,1,,,,797,3471,1
Pagretar,230051,,,1,,,,762,2952,1
Palchok,230052,,,1,,,,489,1927,1
Pangtang,230053,,,1,,,,487,2481,1
Petaku,230054,,1,,,,,391,1600,1
Pipaldanda,230055,,,1,,,,787,3371,1
Piskar,230056,,1,,,,,538,2286,1
Ramche,230057,,,1,,,,999,4092,1
Sangachok,230058,,,1,,,,2128,9577,1
Sanusiruwari,230059,,,1,,,,779,3274,1
Selang,230060,,,1,,,,526,2613,1
Sikharpur,230061,,,1,,,,583,2564,1
Sindhukot,230062,,,1,,,,681,3125,1
Sipa Pokhare,230063,,,1,,,,833,3805,1
Sipal Kavre,230064,,,1,,,,608,2777,1
Sunkhani,230065,,,1,,,,626,2520,1
Syaule Bazar,230066,,,1,,,,833,3630,1
Talamarang,230067,,,1,,,,716,3141,1
Tatopani,230068,,1,,,,,1733,6774,1
Tauthali,230069,,1,,,,,776,2762,1
Tekanpur,230070,,,1,,,,422,1609,1
Thakani,230071,,,1,,,,718,3439,1
Thampal Chhap,230072,,,1,,,,822,3510,1
Thangpalkot,230073,,,1,,,,653,2635,1
Thokarpa,230074,,,1,,,,1036,4373,1
Thulo Dhading,230075,,1,,,,,509,2115,1
Thulo Pakhar,230076,,1,,,,,758,2909,1
Thulo Sirubari,230077,,,1,,,,1331,5987,1
Thum Pakhar,230078,,,1,,,,997,3643,1
Yamunadanda,230079,,,1,,,,393,1507,1
