,VCODE,Intensity 5,Intensity 6,Intensity 7,Intensity 8,Intensity 9,Total VDC/Munci,HH,Pop
Ramechhap,,40,15,,,,55,43883,201423
Bamti Bhandar,210001,1,,,,,1,739,3144
Betali,210002,,1,,,,1,952,4483
Bethan,210003,1,,,,,1,1090,4634
Bhaluwajor (Bhadaure),210004,1,,,,,1,715,3496
Bhatauli,210005,1,,,,,1,820,3936
Bhirpani,210006,1,,,,,1,764,3253
Bhujee,210007,1,,,,,1,538,2402
Bijulikot,210008,1,,,,,1,1087,5058
Chanakhu,210009,,1,,,,1,476,2366
Chisapani,210010,1,,,,,1,686,3187
Chuchure,210011,1,,,,,1,585,2629
Dadhuwa,210012,,1,,,,1,1016,4730
Deurali,210013,1,,,,,1,702,3257
Dimipokhari,210014,,1,,,,1,726,3073
Doramba,210015,,1,,,,1,794,3273
Duragaun,210016,1,,,,,1,652,3023
Farpu,210017,1,,,,,1,450,2098
Gagal Bhadaure,,,1,,,,1,574,2475
Gelu,210018,1,,,,,1,1267,5652
Goswara,210019,,1,,,,1,770,3632
Gothgaun,210020,1,,,,,1,566,2401
Gumdel,210021,1,,,,,1,497,2466
Gunsi Bhadaure,210022,,1,,,,1,1056,4702
Gupteshwor,210023,1,,,,,1,361,1769
Hiledevi,210024,1,,,,,1,707,3031
Himganga,210025,1,,,,,1,849,4248
Kathjor,210026,1,,,,,1,934,4716
Khandadevi,210027,,1,,,,1,838,3925
Khaniyapani,210028,1,,,,,1,794,4065
Khimti,210029,1,,,,,1,968,4278
Kubukasthali,210030,1,,,,,1,606,2727
Lakhanpur,210031,,1,,,,1,1323,6209
Majuwa,210032,1,,,,,1,453,2293
Makadum,210033,1,,,,,1,422,1911
Maluwajor,210034,,,,,,,,
Manthali,210035,1,,,,,1,2018,7569
Nagdaha,210036,1,,,,,1,777,3679
Namadi,210037,1,,,,,1,827,3981
Okhreni,210038,1,,,,,1,742,3503
Pakarbas,210039,1,,,,,1,1177,6392
Phulasi,210040,,1,,,,1,1284,5733
Pinkhuri,210041,,1,,,,1,428,2078
Pritee,210042,1,,,,,1,1128,5093
Puranagaun,210043,1,,,,,1,635,3008
Rakathum,210044,1,,,,,1,716,3434
Ramechhap,210045,1,,,,,1,1153,5222
Rampur,210046,1,,,,,1,858,4101
Rasanalu,210047,,1,,,,1,1026,4424
Saipu,210048,1,,,,,1,616,2876
Salu,210049,1,,,,,1,764,3612
Sanghutar,210050,1,,,,,1,500,2342
Sukajor,210051,1,,,,,1,756,3538
Sunarpani,210052,1,,,,,1,500,2141
Those,210053,,1,,,,1,606,2443
Tilpung,210054,1,,,,,1,828,4195
Tokarpur,210055,,1,,,,1,767,3517
